Series_Title,Star1,Star2,Star3,Star4
The Shawshank Redemption,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler
The Godfather,Marlon Brando,Al Pacino,James Caan,Diane Keaton
The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine
The Godfather: Part II,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton
12 Angry Men,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler
The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom
Pulp Fiction,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis
Schindler's List,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall
Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe
Fight Club,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean
Forrest Gump,Tom Hanks,Robin Wright,Gary Sinise,Sally Field
"Il buono, il brutto, il cattivo",Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè
The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom
The Matrix,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
Goodfellas,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco
Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams
One Flew Over the Cuckoo's Nest,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco
Gisaengchung,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik
Interstellar,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy
Cidade de Deus,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele
Sen to Chihiro no kamikakushi,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi
Saving Private Ryan,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns
The Green Mile,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt
La vita è bella,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano
Se7en,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker
The Silence of the Lambs,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons
Star Wars,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness
Shichinin no samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki
Joker,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy
Whiplash,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser
The Intouchables,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny
The Prestige,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine
The Departed,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg
The Pianist,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox
Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed
American History X,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien
The Usual Suspects,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin
Léon,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello
The Lion King,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones
Terminator 2: Judgment Day,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick
Nuovo Cinema Paradiso,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli
Back to the Future,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover
Once Upon a Time in the West,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards
Psycho,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin
Casablanca,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains
Modern Times,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford
City Lights,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers
Capharnaüm,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad
Kimi no na wa.,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki
Dangal,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra
Spider-Man: Into the Spider-Verse,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson
Avengers: Endgame,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Avengers: Infinity War,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
Coco,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt
Django Unchained,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington
The Dark Knight Rises,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman
3 Idiots,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi
Taare Zameen Par,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra
WALL·E,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard
The Lives of Others,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur
Oldeuboi,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok
Memento,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior
Mononoke-hime,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup
Once Upon a Time in America,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams
Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies
The Shining,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers
Apocalypse Now,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest
Alien,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn
Witness for the Prosecution,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester
Rear Window,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter
The Great Dictator,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner
1917,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth
Andhadhun,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan
Jagten,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm
Jodaeiye Nader az Simin,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini
Incendies,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel
Inglourious Basterds,Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent
Eternal Sunshine of the Spotless Mind,Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne
Amélie,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta
Snatch,Jason Statham,Brad Pitt,Benicio Del Toro,Dennis Farina
Requiem for a Dream,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans
American Beauty,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley
Good Will Hunting,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård
Bacheha-Ye aseman,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi
Toy Story,Tom Hanks,Tim Allen,Don Rickles,Jim Varney
Braveheart,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen
Reservoir Dogs,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn
Full Metal Jacket,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin
Aliens,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser
Amadeus,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice
Scarface,Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio
Star Wars: Episode VI - Return of the Jedi,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams
