Series_Title,Genre
The Shawshank Redemption,Drama
The Godfather,Crime
The Dark Knight,Action
The Godfather: Part II,Crime
12 Angry Men,Crime
The Lord of the Rings: The Return of the King,Action
Pulp Fiction,Crime
Schindler's List,Biography
Inception,Action
Fight Club,Drama
The Lord of the Rings: The Fellowship of the Ring,Action
Forrest Gump,Drama
"Il buono, il brutto, il cattivo",Western
The Lord of the Rings: The Two Towers,Action
The Matrix,Action
Goodfellas,Biography
Star Wars: Episode V - The Empire Strikes Back,Action
One Flew Over the Cuckoo's Nest,Drama
Gisaengchung,Comedy
Interstellar,Adventure
Cidade de Deus,Crime
Sen to Chihiro no kamikakushi,Animation
Saving Private Ryan,Drama
The Green Mile,Crime
La vita è bella,Comedy
Se7en,Crime
The Silence of the Lambs,Crime
Star Wars,Action
Shichinin no samurai,Action
Joker,Crime
Whiplash,Drama
The Intouchables,Biography
The Prestige,Drama
The Departed,Crime
The Pianist,Biography
Gladiator,Action
American History X,Drama
The Usual Suspects,Crime
Léon,Action
The Lion King,Animation
Terminator 2: Judgment Day,Action
Nuovo Cinema Paradiso,Drama
Back to the Future,Adventure
Once Upon a Time in the West,Western
Psycho,Horror
Casablanca,Drama
Modern Times,Comedy
City Lights,Comedy
Capharnaüm,Drama
Kimi no na wa.,Animation
Dangal,Action
Spider-Man: Into the Spider-Verse,Animation
Avengers: Endgame,Action
Avengers: Infinity War,Action
Coco,Animation
Django Unchained,Drama
The Dark Knight Rises,Action
3 Idiots,Comedy
Taare Zameen Par,Drama
WALL·E,Animation
The Lives of Others,Drama
Oldeuboi,Action
Memento,Mystery
Mononoke-hime,Animation
Once Upon a Time in America,Crime
Raiders of the Lost Ark,Action
The Shining,Drama
Apocalypse Now,Drama
Alien,Horror
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy
Witness for the Prosecution,Crime
Rear Window,Mystery
The Great Dictator,Comedy
1917,Drama
Andhadhun,Crime
Jagten,Drama
Jodaeiye Nader az Simin,Drama
Incendies,Drama
Inglourious Basterds,Adventure
Eternal Sunshine of the Spotless Mind,Drama
Amélie,Comedy
Snatch,Comedy
Requiem for a Dream,Drama
American Beauty,Drama
Good Will Hunting,Drama
Bacheha-Ye aseman,Drama
Toy Story,Animation
Braveheart,Biography
Reservoir Dogs,Crime
Full Metal Jacket,Drama
Aliens,Action
Amadeus,Biography
Scarface,Crime
Star Wars: Episode VI - Return of the Jedi,Action
Das Boot,Adventure
Taxi Driver,Crime
The Sting,Comedy
A Clockwork Orange,Crime
2001: A Space Odyssey,Adventure
Per qualche dollaro in più,Western
Lawrence of Arabia,Adventure
The Apartment,Comedy
North by Northwest,Adventure
Vertigo,Mystery
Singin' in the Rain,Comedy
Double Indemnity,Crime
Citizen Kane,Drama
M - Eine Stadt sucht einen Mörder,Crime
The Kid,Comedy
Chhichhore,Comedy
Uri: The Surgical Strike,Action
Green Book,Biography
"Three Billboards Outside Ebbing, Missouri",Comedy
Talvar,Crime
Baahubali 2: The Conclusion,Action
Drishyam,Crime
Queen,Adventure
Bhaag Milkha Bhaag,Biography
Udaan,Drama
Paan Singh Tomar,Action
El secreto de sus ojos,Drama
Warrior,Action
Shutter Island,Mystery
Up,Animation
The Wolf of Wall Street,Biography
Chak De! India,Drama
There Will Be Blood,Drama
Pan's Labyrinth,Drama
Toy Story 3,Animation
V for Vendetta,Action
Rang De Basanti,Comedy
Black,Drama
Batman Begins,Action
"Swades: We, the People",Drama
Der Untergang,Biography
Hauru no ugoku shiro,Animation
A Beautiful Mind,Biography
"Lock, Stock and Two Smoking Barrels",Action
L.A. Confidential,Crime
Heat,Crime
Casino,Crime
Unforgiven,Drama
Indiana Jones and the Last Crusade,Action
Dom za vesanje,Comedy
Tonari no Totoro,Animation
Die Hard,Action
Ran,Action
Raging Bull,Biography
Stalker,Drama
Monty Python and the Holy Grail,Adventure
The Great Escape,Adventure
Some Like It Hot,Comedy
Dial M for Murder,Crime
All About Eve,Drama
The Treasure of the Sierra Madre,Adventure
The Gold Rush,Adventure
Sherlock Jr.,Action
Portrait de la jeune fille en feu,Drama
Pink,Drama
Ah-ga-ssi,Drama
Mommy,Drama
Haider,Action
Logan,Action
Room,Drama
Relatos salvajes,Comedy
PK,Comedy
OMG: Oh My God!,Comedy
The Grand Budapest Hotel,Adventure
Gone Girl,Drama
Hacksaw Ridge,Biography
Inside Out,Animation
Barfi!,Comedy
12 Years a Slave,Biography
Rush,Action
Ford v Ferrari,Action
Spotlight,Biography
Song of the Sea,Animation
Kahaani,Mystery
Zindagi Na Milegi Dobara,Comedy
Prisoners,Crime
Mad Max: Fury Road,Action
Gran Torino,Drama
Harry Potter and the Deathly Hallows: Part 2,Adventure
Okuribito,Drama
How to Train Your Dragon,Animation
Into the Wild,Adventure
No Country for Old Men,Crime
Lage Raho Munna Bhai,Comedy
Million Dollar Baby,Drama
Hotel Rwanda,Biography
Taegukgi hwinalrimyeo,Action
Before Sunset,Drama
Salinui chueok,Crime
Dil Chahta Hai,Comedy
Kill Bill: Vol. 1,Action
Finding Nemo,Animation
Catch Me If You Can,Biography
Amores perros,Drama
"Monsters, Inc.",Animation
Lagaan: Once Upon a Time in India,Adventure
The Sixth Sense,Drama
La leggenda del pianista sull'oceano,Drama
The Truman Show,Comedy
"Crna macka, beli macor",Comedy
The Big Lebowski,Comedy
Fa yeung nin wah,Drama
Trainspotting,Drama
Fargo,Crime
La haine,Crime
Before Sunrise,Drama
Trois couleurs: Rouge,Drama
Chung Hing sam lam,Comedy
Jurassic Park,Action
In the Name of the Father,Biography
Ba wang bie ji,Drama
Dà hóng denglong gaogao guà,Drama
Dead Poets Society,Comedy
Stand by Me,Adventure
Platoon,Drama
"Paris, Texas",Drama
Kaze no tani no Naushika,Animation
The Thing,Horror
Pink Floyd: The Wall,Drama
Fanny och Alexander,Drama
Blade Runner,Action
Life of Brian,Comedy
The Deer Hunter,Drama
Rocky,Drama
Zerkalo,Biography
Chinatown,Drama
Paper Moon,Comedy
Viskningar och rop,Drama
Le samouraï,Crime
Cool Hand Luke,Crime
Andrei Rublev,Biography
What Ever Happened to Baby Jane?,Drama
Jungfrukällan,Drama
Ben-Hur,Adventure
The Bridge on the River Kwai,Adventure
On the Waterfront,Crime
Ace in the Hole,Drama
The Third Man,Film-Noir
Rebecca,Drama
Mr. Smith Goes to Washington,Comedy
Gone with the Wind,Drama
It Happened One Night,Comedy
La passion de Jeanne d'Arc,Biography
Sunrise: A Song of Two Humans,Drama
The General,Action
Bajrangi Bhaijaan,Action
La La Land,Comedy
Lion,Biography
The Martian,Adventure
Zootopia,Animation
Bãhubali: The Beginning,Action
Kaguyahime no monogatari,Animation
Wonder,Drama
Gully Boy,Drama
Special Chabbis,Crime
Short Term 12,Drama
Serbuan maut 2: Berandal,Action
The Imitation Game,Biography
Guardians of the Galaxy,Action
Blade Runner 2049,Action
Her,Drama
Bohemian Rhapsody,Biography
The Revenant,Action
The Perks of Being a Wallflower,Drama
The King's Speech,Biography
The Help,Drama
Deadpool,Action
Darbareye Elly,Drama
Dev.D,Drama
My Name Is Khan,Drama
Slumdog Millionaire,Drama
Black Swan,Drama
Tropa de Elite,Action
The Avengers,Action
Persepolis,Animation
Dallas Buyers Club,Biography
The Pursuit of Happyness,Biography
Blood Diamond,Adventure
The Bourne Ultimatum,Action
Bin-jip,Crime
Sin City,Crime
Le scaphandre et le papillon,Biography
Ratatouille,Animation
Casino Royale,Action
Kill Bill: Vol. 2,Action
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,Drama
Mar adentro,Biography
Cinderella Man,Biography
Kal Ho Naa Ho,Comedy
Mou gaan dou,Action
Pirates of the Caribbean: The Curse of the Black Pearl,Action
Big Fish,Adventure
The Incredibles,Animation
Dogville,Crime
Donnie Darko,Drama
Magnolia,Drama
Dancer in the Dark,Crime
The Straight Story,Biography
Pâfekuto burû,Animation
Festen,Drama
Central do Brasil,Drama
The Iron Giant,Animation
Sling Blade,Drama
Secrets & Lies,Comedy
Twelve Monkeys,Mystery
Kôkaku Kidôtai,Animation
The Nightmare Before Christmas,Animation
Groundhog Day,Comedy
Bound by Honor,Crime
Scent of a Woman,Drama
Aladdin,Animation
JFK,Drama
Beauty and the Beast,Animation
Dances with Wolves,Adventure
Do the Right Thing,Comedy
Rain Man,Drama
Akira,Animation
The Princess Bride,Adventure
Der Himmel über Berlin,Drama
Au revoir les enfants,Drama
The Terminator,Action
Gandhi,Biography
Being There,Comedy
Annie Hall,Comedy
Jaws,Adventure
Dog Day Afternoon,Biography
Young Frankenstein,Comedy
Papillon,Biography
The Exorcist,Horror
Sleuth,Mystery
The Last Picture Show,Drama
Fiddler on the Roof,Drama
Il conformista,Drama
Butch Cassidy and the Sundance Kid,Biography
Planet of the Apes,Adventure
The Graduate,Comedy
The Sound of Music,Biography
Doctor Zhivago,Drama
Per un pugno di dollari,Action
The Hustler,Drama
La dolce vita,Comedy
Rio Bravo,Action
Touch of Evil,Crime
Cat on a Hot Tin Roof,Drama
A Streetcar Named Desire,Drama
Laura,Drama
The Best Years of Our Lives,Drama
The Grapes of Wrath,Drama
The Wizard of Oz,Adventure
All Quiet on the Western Front,Drama
Knives Out,Comedy
Manbiki kazoku,Crime
Marriage Story,Comedy
Call Me by Your Name,Drama
"I, Daniel Blake",Drama
Isle of Dogs,Animation
Hunt for the Wilderpeople,Adventure
Captain Fantastic,Comedy
Sing Street,Comedy
Thor: Ragnarok,Action
Nightcrawler,Crime
Jojo Rabbit,Comedy
Arrival,Drama
Star Wars: Episode VII - The Force Awakens,Action
Before Midnight,Drama
X-Men: Days of Future Past,Action
The Artist,Comedy
Edge of Tomorrow,Action
Amour,Drama
The Irishman,Biography
Un prophète,Crime
Moon,Drama
Låt den rätte komma in,Crime
District 9,Action
The Wrestler,Drama
Jab We Met,Comedy
Boyhood,Drama
Star Trek,Action
In Bruges,Comedy
Letters from Iwo Jima,Action
The Fall,Adventure
Life of Pi,Adventure
Fantastic Mr. Fox,Animation
Les choristes,Drama
Iron Man,Action
Shaun of the Dead,Comedy
Mystic River,Crime
Harry Potter and the Prisoner of Azkaban,Adventure
Ying xiong,Action
Hable con ella,Drama
No Man's Land,Comedy
Cowboy Bebop: Tengoku no tobira,Animation
The Bourne Identity,Action
Nueve reinas,Crime
Children of Men,Adventure
Almost Famous,Adventure
Mulholland Dr.,Drama
Toy Story 2,Animation
Boogie Nights,Drama
Once Were Warriors,Crime
True Romance,Crime
Trois couleurs: Bleu,Drama
Carlito's Way,Crime
Edward Scissorhands,Drama
My Left Foot: The Story of Christy Brown,Biography
Crimes and Misdemeanors,Comedy
The Untouchables,Crime
Hannah and Her Sisters,Comedy
Brazil,Drama
This Is Spinal Tap,Comedy
A Christmas Story,Comedy
The Blues Brothers,Action
Manhattan,Comedy
All That Jazz,Drama
Dawn of the Dead,Action
All the President's Men,Biography
La montaña sagrada,Adventure
Le charme discret de la bourgeoisie,Comedy
Patton,Biography
The Wild Bunch,Action
The Lion in Winter,Biography
In the Heat of the Night,Crime
Charade,Comedy
Spartacus,Adventure
The Ten Commandments,Adventure
High Noon,Drama
Strangers on a Train,Crime
Notorious,Drama
The Big Sleep,Crime
The Lost Weekend,Drama
His Girl Friday,Comedy
The Adventures of Robin Hood,Action
A Night at the Opera,Comedy
King Kong,Adventure
Forushande,Drama
Dunkirk,Action
Hidden Figures,Biography
Paddington 2,Adventure
Kubo and the Two Strings,Animation
M.S. Dhoni: The Untold Story,Biography
Manchester by the Sea,Drama
Under sandet,Drama
Rogue One,Action
Captain America: Civil War,Action
The Hateful Eight,Crime
Little Women,Drama
Loving Vincent,Animation
Le passé,Drama
The Lunchbox,Drama
Vicky Donor,Comedy
Big Hero 6,Animation
About Time,Comedy
English Vinglish,Comedy
Kaze tachinu,Animation
Toy Story 4,Animation
La migliore offerta,Crime
Moonrise Kingdom,Comedy
How to Train Your Dragon 2,Animation
The Big Short,Biography
The Girl with the Dragon Tattoo,Crime
Captain Phillips,Adventure
Ajeossi,Action
Straight Outta Compton,Biography
Madeo,Crime
The Hobbit: The Desolation of Smaug,Adventure
Das weiße Band - Eine deutsche Kindergeschichte,Drama
Män som hatar kvinnor,Crime
The Fighter,Biography
Taken,Action
The Boy in the Striped Pyjamas,Drama
Once,Drama
The Hobbit: An Unexpected Journey,Adventure
Atonement,Drama
Drive,Crime
American Gangster,Biography
Avatar,Action
Mr. Nobody,Drama
Apocalypto,Action
Little Miss Sunshine,Comedy
Hot Fuzz,Action
The Curious Case of Benjamin Button,Drama
Veer-Zaara,Drama
Adams æbler,Comedy
Pride & Prejudice,Drama
The World's Fastest Indian,Biography
Tôkyô goddofâzâzu,Animation
Serenity,Action
Walk the Line,Biography
The Notebook,Drama
Diarios de motocicleta,Adventure
Lilja 4-ever,Crime
Les triplettes de Belleville,Animation
The Count of Monte Cristo,Action
Waking Life,Animation
Remember the Titans,Biography
Wo hu cang long,Action
Todo sobre mi madre,Drama
Cast Away,Adventure
The Boondock Saints,Action
The Insider,Biography
October Sky,Biography
Shrek,Animation
Titanic,Drama
Gattaca,Drama
The Game,Action
Breaking the Waves,Drama
Ed Wood,Biography
What's Eating Gilbert Grape,Drama
Tombstone,Action
The Sandlot,Comedy
The Remains of the Day,Drama
The Fugitive,Action
A Bronx Tale,Crime
Batman: Mask of the Phantasm,Animation
Night on Earth,Comedy
La double vie de Véronique,Drama
Boyz n the Hood,Crime
Misery,Drama
Awakenings,Biography
Glory,Biography
Back to the Future Part II,Adventure
Mississippi Burning,Crime
Predator,Action
Evil Dead II,Action
Ferris Bueller's Day Off,Comedy
Down by Law,Comedy
The Goonies,Adventure
The Color Purple,Drama
The Breakfast Club,Comedy
The Killing Fields,Biography
Ghostbusters,Action
The Right Stuff,Adventure
The King of Comedy,Comedy
E.T. the Extra-Terrestrial,Family
Kramer vs. Kramer,Drama
The Outlaw Josey Wales,Western
The Conversation,Drama
La planète sauvage,Animation
The Day of the Jackal,Crime
