Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director,Star1,Star2,Star3,Star4,Gross
The Shawshank Redemption,1994,A,142,Drama,9.3,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,"28,341,469"
Avengers: Endgame,2019,UA,181,Action,8.4,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,"858,373,000"
Avengers: Infinity War,2018,UA,149,Action,8.4,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,"678,815,482"
Forrest Gump,1994,UA,142,Drama,8.8,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,"330,252,182"
The Matrix,1999,A,136,Action,8.7,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,"171,479,930"
Goodfellas,1990,A,146,Biography,8.7,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,"46,836,394"
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124,Action,8.7,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"290,475,067"
Interstellar,2014,UA,169,Adventure,8.6,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,"188,020,017"
Joker,2019,A,122,Crime,8.5,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,"335,451,311"
Raiders of the Lost Ark,1981,A,115,Action,8.4,Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,"248,159,971"
Apocalypse Now,1979,R,147,Drama,8.4,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,"83,471,511"
Good Will Hunting,1997,U,126,Drama,8.3,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård,"138,433,435"
Star Wars: Episode VI - Return of the Jedi,1983,U,131,Action,8.3,Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"309,125,409"
The Big Lebowski,1998,R,117,Comedy,8.1,Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,"17,498,804"
Kill Bill: Vol. 1,2003,R,111,Action,8.1,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,"70,099,045"
Finding Nemo,2003,U,100,Animation,8.1,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,"380,843,261"
"Monsters, Inc.",2001,U,92,Animation,8.1,Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,"289,916,256"
No Country for Old Men,2007,R,122,Crime,8.1,Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,"74,283,625"
How to Train Your Dragon,2010,U,98,Animation,8.1,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,"217,581,231"
Lagaan: Once Upon a Time in India,2001,U,224,Adventure,8.1,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,"70,147"
Indiana Jones and the Last Crusade,1989,U,127,Action,8.2,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,"197,171,806"
Toy Story 3,2010,U,103,Animation,8.2,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,"415,004,880"
Mononoke-hime,1997,U,134,Animation,8.4,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,"2,375,308"
Pulp Fiction,1994,A,154,Crime,8.9,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,"107,928,762"
Schindler's List,1993,A,195,Biography,8.9,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,"96,898,818"
